HTX	hợp tác xã
SVNCKH	Sinh viên nghiên cứu khoa học
SVTN	Sinh viên tình nguyện
SVVN	Sinh viên Việt Nam
SXH	Sốt xuất huyết
SXKD	sản xuất kinh doanh
SYLL	Sơ yếu lý lịch
TACN	Thức ăn chăn nuôi
TAND	Tòa án nhân dân
TANDTC	Tòa án Nhân dân Tối cao
TBD	Thái bình dương
TBKTSG	Thời báo kinh tế Sài Gòn
TBKTVN	Thời báo Kinh tế Việt Nam
TBMMN	Tai biến mạch máu não
TBN	Tây Ban Nha
TBNN	trung bình nhiều năm
TBT	Tổng biên tập
TBTT	Thuê bao trả trước
TBXH	Thương binh Xã hội
TCCN	Trung cấp chuyên nghiệp
TCCS	Tổ chức cơ sở
TCCT	tổng cục chính trị
TCDL	Tổng cục Du lịch
TCHL	Tuyệt chủng hàng loạt
TCHQ	Tổng cục hải quan
TCMN	Thủ công mỹ nghệ
TCMR	Tiêm chủng mở rộng
TCN	Trung cấp nghề
TCNN	Tài chính nhà nước
TCS	Trịnh công sơn
TCT	Tổng công ty
TCTD	Tổ chức tín dụng
TCTN	trợ cấp thất nghiệp
TCTT	Trò chơi trực tuyến
TCTTMSG	Tổng công ty Thương mại Sài Gòn
TCVN	Tiêu chuẩn Việt Nam
TCVSG	Thảo cầm viên sài gòn
TĐBKVN	Từ điển bách khoa việt nam
TĐC	Tái định cư
TDDC	thể dục dụng cụ
TDTT	Thể dục thể thao
TDTTQG	Thể dục thể thao Quốc gia
TDV	Trình dược viên
TGĐ	Tổng giám đốc
TGPL	Trợ giúp pháp lý
THADS	thi hành án dân sự
THCB	Trung học Chuyên ban
THCN	Trung học chuyên nghiệp
THCS	Trung học cơ sở
THCSNĐ	Thực hiện chính sách nhà đất
THDL	Trung học dân lập
THGT	Tín hiệu giao thông
THKTS	Truyền hình kỹ thuật số
THKTSMĐ	Truyền hình kỹ thuật số mặt đất
THPT	Trung học phổ thông
THQG	Thương hiệu quốc gia
THS	Tín hiệu số
THTT	Truyền hình trực tiếp
THVN	Truyền hình Việt Nam
THX	Tân hoa xã
TKCN	Tìm kiếm cứu nạn
TMCP	Thương mại cổ phần
TMĐT	Thương mại Điện tử
TMDV	thương mại dịch vụ
TMN	Thép miền nam
TNCN	Thu nhập cá nhân
TNCS	Thanh niên cộng sản
TNĐH	Tốt nghiệp đại học
TNDN	Thu nhập doanh nghiệp
TNĐT	Thoát nước Đô thị
TNGT	Tai nạn giao thông
TNHC	Trinh nữ hoàng cung
TNHH	Trách nhiệm hữu hạn
TNK	Thuế nhập khẩu
TNKQ	Trắc nghiệm khách quan
TNLN	Thanh niên lập nghiệp
TNMT	Tài nguyên Môi trường
TNND	Tiếng nói Nhân dân
TNNT	Thanh niên nông thôn
TNO	Thanh niên Online
TNS	Tu nghiệp sinh
TNSV	Thanh niên sinh viên
TNSVVN	Thanh niên sinh viên Việt Nam
TNT	Tình nguyện trẻ
TNTN	Thanh niên tình nguyện
TNTP	Thiếu niên Tiền phong
TNTT	thiếu nhi thánh thể
TNV	Tình nguyện viên
TNVN	Thanh niên Việt Nam
TNXH	Tệ nạn xã hội
TNXK	Thanh niên xung kích
TNXP	Thanh niên xung phong
TPCĐ	Trái phiếu chuyển đổi
TPCN	Thực phẩm chức năng
TPCP	trái phiếu chính phủ
TPCT	Thành phố Cần Thơ
TPDN	trái phiếu doanh nghiệp
TPHCM	Thành phố hồ chí minh
TPO	Tiên phong Online
TSDĐ	Tiền sử dụng đất
TSKH	Tiến sỹ Khoa học
TSN	Tân sơn nhất
TSVM	Trong sạch vững mạnh
TTATGT	trật tự an toàn giao thông
TTATXH	trật tự an toàn xã hội
TTBĐS	Thị trường bất động sản
TTBDVH	Trung tâm bồi dưỡng văn hóa
TTBDVHNG	Trung tâm bồi dưỡng văn hóa ngoài giờ
TTBVQTG	Trung tâm bảo vệ quyền tác giả
TTBYT	Trang thiết bị y tế
TTCK	Trung tâm chứng khoán
TTCN	Tiểu thủ công nghiệp
TTCP	Thanh tra Chính phủ
TTCT	Thể thao cuối tuần
TTDD	Trung tâm Dinh dưỡng
TTDH	thách thức danh hài
TTĐM	Trung tâm Điện máy
TTDV	Trung tâm Dịch vụ
TTDVVL	Trung tâm Dịch vụ việc làm
TTGDCK	Trung tâm giao dich chứng khoán
TTGDTX	Trung tâm Giáo dục thường xuyên
TTGT	Trật tự Giao thông
TTH	Thừa thiên huế
TTHC	thủ tục hành chính
TTHTCĐ	Trung tâm học tập cộng đồng
TTHTSV	Trung tâm hỗ trợ sinh viên
TTK	Tổng thư ký
TTKS	tuần tra kiểm soát
TTKTTV	trung tâm khí tượng thuỷ văn
TTLT	Thông tư liên tịch
TTN	Thanh thiếu niên
TTNN	Trung tâm Ngoại Ngữ
TTO	tuổi trẻ online
TTQLKT	Trật tự quản lý kinh tế
TTTH	Trung tâm Tin học
TTTM	Trung tâm thương mại
TTTON	Thụ tinh trong ống nghiệm
TTTT	thông tin truyền thông
TTTTN	Trí thức trẻ tình nguyện
TTVGT	Trật tự viên giao thông
TTVH	Trung tâm Văn hóa
TTVN	Trí tuệ Việt Nam
TTXD	trật tự xây dựng
TTXH	Trật tự xã hội
TTXVN	Thông tấn xã việt nam
TTYT	Trung tâm y tế
TTYTDP	Trung tâm Y tế dự phòng
TVHK	Tiếp viên hàng không
TVN	Than việt nam
TVQH	Thường vụ Quốc hội
TVV	Tư vấn viên
UBCKNN	Ủy ban Chứng khoán Nhà nước
UBKT	Ủy ban kiểm tra
UBMTTQ	Ủy ban mặt trận tổ quốc
UBMTTQVN	Ủy ban Mặt trận Tổ quốc Việt Nam
UBND	Ủy ban nhân dân
UBNDTP	Ủy ban Nhân dan Thành phố
UBTDTT	Ủy ban Thể dục Thể thao
UBTVQH	Ủy ban thường vụ Quốc hội
UVBCH	Ủy viên ban chấp hành
UVBCT	Ủy viên Bộ chính trị
VBQPPL	văn bản quy phạm pháp luật
VCK	Vòng chung kết
VĐQG	Vô địch Quốc gia
VĐV	Vận động viên
VĐVQG	Vận động viên Quốc gia
VHGDTNTN	Văn hóa Giáo dục Thanh niên Thiếu niên
VHNT	Văn học Nghệ thuật
VHTT	Văn hóa Thông tin
VHTTDL	văn hoá thể thao du lịch
VKS	Viện kiểm sát
VKSND	Viện kiểm sát nhân dân
VKSNDTC	Viện Kiểm sát Nhân dân Tối cao
VLTK	Võ lâm truyền kỳ
VLXD	Vật liệu xây dựng
VNCH	Việt Nam Cộng hoà
VNĐ	Việt nam đồng
VPCC	văn phòng công chứng
VPCP	Văn phòng chính phủ
VPĐD	Văn phòng đại diện
VPHC	vi phạm hành chính
VPQH	văn phòng quốc hội
VQG	Vườn Quốc gia
VSATTP	vệ sinh an toàn thực phẩm
VSMT	vệ sinh môi trường
VTHKCC	vận tải hành khách công cộng
XDCB	Xây dựng cơ bản
XĐGN	Xoá đói giảm nghèo
XDHK	Xăng dầu hàng không
XDLL	xây dựng lực lượng
XDNTM	xây dựng nông thôn mới
XHCN	Xã hội chủ nghĩa
XHH	Xã hội hóa
XHTT	xã hội thông tin
XKLĐ	Xuất khẩu lao động
XNC	xuất nhập cảnh
XNK	Xuất nhập khẩu
XSKT	Xổ số kiến thiết
XTTM	Xúc tiến thương mại
YKVN	Y khoa Việt Nam
YTDP	Y tế Dự phòng
BCĐPCTNTƯ	Ban chỉ đạo phòng chống tham nhũng trung ương
BCHTƯ	Ban chỉ huy trung ương
BCHTW	Ban chỉ huy trung ương
BGDĐT	Bộ Giáo dục và Đào tạo
BR-VT	Bà Rịa Vũng Tàu
CNTT-TT	công nghệ thông tin truyền thông
CPSXTM	Cổ phần sản xuất thương mại
CSPCTPMT	cảnh sát phòng chống tội phạm ma túy
CTRL	control
ĐHBKHCM	Đại học Bách khoa Thành phố Hồ Chí Minh
ĐHHVN	Đại học Hàng hải Việt Nam
DHKTCN	Đại học Kỹ thuật Công nghệ
ĐHKTCN	Đại học Kỹ thuật Công nghệ
ĐNÁ	Đông nam á
DTQG	Đội tuyển quốc gia
ĐTQG	Đội tuyển quốc gia
ĐVƯT	Đoàn viên ưu tú
GCNQSDĐƠ	Giấy chứng nhận quyền sử dụng đất ở
GCNQSHNƠ	Giấy chứng nhận quyền sở hữu nhà ở
GDĐH	Giáo dục dục đại học
GDĐT	Giáo dục & Đào tạo
GDPT	gia đình phật tử
GHZ	ghi ga héc
GS-TS	giáo sư tiến sĩ
GS-TSKH	giáo sư tiến sĩ khoa học
GT-VT	giao thông vận tải
GPNK	giấy phép nhập khẩu
HĐBA	Hội đồng Bảo an
HDND	Hội đồng nhân dân
HĐND	Hội đồng nhân dân
HLTTQG	Trung tâm huấn luyện thể thao quốc gia
HS-SV	học sinh sinh viên
KCN-KCX	khu công nghiệp khu chế xuất
KCX-KCN	khu chế xuất khu công nghiệp
KĐTNTL	Khu đô thị Nam Thăng Long
KH-CN	khoa học công nghệ
KM/H	ki lô mét trên giờ
KTXH	kinh tê xã hội
KT-XH	kinh tế xã hội
KWH	Ky lô oát giờ
LHTNVN	Hội Liên hiệp Thanh niên Việt Nam
M/S	mét trên giây
MG/KG	miligram trên kilogram
MHZ	mê-ga-héc
NHĐÁ	Ngân hàng Đông Á
NHNNPTNT	Ngân hàng Nông nghiệp và Phát triển Nông thôn
NHTƯ	Ngân hàng Trung ương
NHTW	Ngân hàng Trung ương
NN & PTNT	Nông nghiệp và phát triển nông thôn
NNPTNT	Nông nghiệp và Phát triển nông thôn
NN-PTNT	nông nghiệp phát triển nông thôn
NSƯT	Nghệ sĩ ưu tú
NXBVHTT	Nhà xuất bản Văn hóa Nghệ thuật
P/V	phóng viên
PCBLTKCN	Phòng chống bão lụt và tìm kiếm cứu nạn
PCLBTƯ	Phòng chống lụt bão Trung ương
PCLBTW	Phòng chống lụt bão Trung ương
PGS-TS	phó giáo sư tiến sĩ
PK-KQ	phòng không không quân
PT-TH	phân tích-tổng hợp
QH-KT	quy hoạch-kiến trúc
SKHCNMT	Sở Khoa học Công nghệ và Môi trường
SKHĐT	Sở Kế hoạch và Đầu tư
SV–HS	Sinh viên học sinh
TCBVNTD	Tiêu chuẩn và bảo vệ người tiêu dùng
TCKH	Tài chính - Kế hoạch
TCKT	Tài chính - Kế toán
TN-MT	tài nguyên môi trường
TS-BS	tiến sĩ bác sĩ
TTĐB	Thuế Tiêu thụ đặc biệt
TT-TT	thông tin truyền thông
TTTV	thể thao ti vi
ƯCV	Ứng cử viên
VHGDTTNNĐ	Văn hóa Giáo dục Thanh thiếu niên và Nhi đồng
VH-TT	văn hoá thể thao
VH-TT-DL	văn hoá thể thao du lịch
VND	Việt nam đồng
VNM	Vinamilk
VNN	Vietnamnet
YTẾ	Y tế
BĐ	Bóng đá
BH	Bảo hiểm
BK	Bách khoa
BL	bình luận
BN	bệnh nhân
BP	Biên phòng
BS	bác sĩ
BV	Bệnh viện
BX	Bến xe
CĐ	Cao đẳng
CK	Chung kết
CN	công nghiệp
CP	Chính phủ
CQ	cơ quan
CS	cảnh sát
CT	Chính trị
CV	Chuyên viên
ĐB	Đại biểu
ĐC	Địa chỉ
DD	Dân dụng
ĐD	Đại diện
ĐH	Đại học
ĐK	Đăng ký
DL	Du lịch
DN	Doanh nghiệp
ĐT	Đào tạo
DV	Dịch vụ
GD	Giáo dục
GĐ	Giám đốc
GP	Giấy phép
GS	Giáo sư
GT	Giao thông
GV	Giáo viên
HB	Học bổng
Full HD	full hát đê
HD	Hướng dẫn
HĐ	Hội đồng
HL	Huấn luyện
HN	Hà nội
HQ	Hải quan
HS	Học sinh
HV	Học viên
KK	Khuyến khích
KS	Kỹ sư
LL	Lực lượng
LS	Luật sư
MS	Mã số
NĐ	Nghị định
NV	Nhân viên
NX	nhận xét
PL	Pháp luật
PV	Phóng viên
QĐ	Quyết định
QG	Quốc gia
QH	Quốc hội
QK	Quân khu
QP	quốc phòng
QS	quân sự
QT	quốc tế
SG	Sài gòn
SS	Sĩ số
SX	Sản xuất
SV	Sinh viên
TG	Thế giới
TP	Thành phố
TQ	Trung quốc
TT	Trung tâm
TW	Trung ương
TX	Thị xã
VĐ	Vô địch
VP	Văn phòng
XH	Xã hội
XS	xổ số
PGS.TS	phó giáo sư tiến sĩ
TS	tiến sĩ
Th.s	thạc sĩ
VTV	vê tê vê
CKTG	chung kết thế giới
KH-ĐT	kế hoạch đầu tư
MTV	một thành viên
UB	ủy ban
LĐ	Lao động
TB-XH	thương binh và xã hội
NN	nông nghiệp
NN&PTNT	nông nghiệp và phát triển nông thôn
BOT	bê ô tê
LB	Liên bang
T.Ư	trung ương
GS.TS	giáo sư tiến sĩ
TP.Hà Nội	thành phố hà nội
TP.Hồ Chí Minh	thành phố Hồ Chí Minh
tp.hcm	thành phố Hồ Chí Minh
TP.HCM	thành phố Hồ Chí Minh
SN	sinh năm
VTV	vê tê vê
VOV	vê ô vê
