HTX	hợp tác xã
TTGDCK	Trung tâm giao dich chứng khoán
TTGDTX	Trung tâm Giáo dục thường xuyên
TTGT	Trật tự Giao thông
TTH	Thừa thiên huế
TTHTCĐ	Trung tâm học tập cộng đồng
TTHTSV	Trung tâm hỗ trợ sinh viên
TTK	Tổng thư ký
TTLT	Thông tư liên tịch
TTN	Thanh thiếu niên
TTO	tuổi trẻ online
TTQLKT	Trật tự quản lý kinh tế
TTTH	Trung tâm Tin học
TTTM	Trung tâm thương mại
TTTON	Thụ tinh trong ống nghiệm
TTTTN	Trí thức trẻ tình nguyện
TTVGT	Trật tự viên giao thông
TTVH	Trung tâm Văn hóa
TTVN	Trí tuệ Việt Nam
TTXH	Trật tự xã hội
TTXVN	Thông tấn xã việt nam
TTYT	Trung tâm y tế
TTYTDP	Trung tâm Y tế dự phòng
TVHK	Tiếp viên hàng không
TVN	Than việt nam
TVQH	Thường vụ Quốc hội
TVV	Tư vấn viên
UBCKNN	Ủy ban Chứng khoán Nhà nước
UBKT	Ủy ban kiểm tra
UBMTTQ	Ủy ban mặt trận tổ quốc
UBMTTQVN	Ủy ban Mặt trận Tổ quốc Việt Nam
UBND	Ủy ban nhân dân
UBNDTP	Ủy ban Nhân dan Thành phố
UBTDTT	Ủy ban Thể dục Thể thao
UBTVQH	Ủy ban thường vụ Quốc hội
UVBCH	Ủy viên ban chấp hành
UVBCT	Ủy viên Bộ chính trị
VCK	Vòng chung kết
VĐQG	Vô địch Quốc gia
VĐV	Vận động viên
VĐVQG	Vận động viên Quốc gia
VHGDTNTN	Văn hóa Giáo dục Thanh niên Thiếu niên
VHNT	Văn học Nghệ thuật
VHTT	Văn hóa Thông tin
VKS	Viện kiểm sát
VKSND	Viện kiểm sát nhân dân
VKSNDTC	Viện Kiểm sát Nhân dân Tối cao
VLTK	Võ lâm truyền kỳ
VLXD	Vật liệu xây dựng
VNĐ	Việt nam đồng
VPCP	Văn phòng chính phủ
VPĐD	Văn phòng đại diện
VQG	Vườn Quốc gia
XDCB	Xây dựng cơ bản
XĐGN	Xoá đói giảm nghèo
XDHK	Xăng dầu hàng không
XHCN	Xã hội chủ nghĩa
XHH	Xã hội hóa
XKLĐ	xuất khẩu lao động
XNK	Xuất nhập khẩu
XSKT	Xổ số kiến thiết
XTTM	Xúc tiến thương mại
YKVN	Y khoa Việt Nam
YTDP	Y tế Dự phòng
BCĐPCTNTƯ	Ban chỉ đạo phòng chống tham nhũng trung ương
BCHTƯ	Ban chỉ huy trung ương
BCHTW	Ban chỉ huy trung ương
BGDĐT	Bộ Giáo dục và Đào tạo
BR-VT	Bà Rịa Vũng Tàu
CPSXTM	Cổ phần sản xuất thương mại
CSPCTPMT	cảnh sát phòng chống tội phạm ma túy
ĐHBKHCM	Đại học Bách khoa Thành phố Hồ Chí Minh
ĐHHVN	Đại học Hàng hải Việt Nam
DHKTCN	Đại học Kỹ thuật Công nghệ
ĐNÁ	Đông nam á
DTQG	Đội tuyển quốc gia
ĐVƯT	Đoàn viên ưu tú
GCNQSDĐƠ	Giấy chứng nhận quyền sử dụng đất ở
GCNQSHNƠ	Giấy chứng nhận quyền sở hữu nhà ở
GDĐH	Giáo dục dục đại học
GDĐT	Giáo dục & Đào tạo
GPNK	giấy phép nhập khẩu
HĐBA	Hội đồng Bảo an
HDND	Hội đồng nhân dân
HLTTQG	Trung tâm huấn luyện thể thao quốc gia
HS-SV	học sinh sinh viên
KĐTNTL	Khu đô thị Nam Thăng Long
KWH	Ky lô oát giờ
LHTNVN	Hội Liên hiệp Thanh niên Việt Nam
MHZ	mê-ga-héc
NHĐÁ	Ngân hàng Đông Á
NHNNPTNT	Ngân hàng Nông nghiệp và Phát triển Nông thôn
NHTƯ	Ngân hàng Trung ương
NHTW	Ngân hàng Trung ương
NN & PTNT	Nông nghiệp và phát triển nông thôn
NNPTNT	Nông nghiệp và Phát triển nông thôn
NSƯT	Nghệ sĩ ưu tú
NXBVHTT	Nhà xuất bản Văn hóa Nghệ thuật
P/V	phóng viên
PCBLTKCN	Phòng chống bão lụt và tìm kiếm cứu nạn
PCLBTƯ	Phòng chống lụt bão Trung ương
PCLBTW	Phòng chống lụt bão Trung ương
PT-TH	phân tích-tổng hợp
SKHCNMT	Sở Khoa học Công nghệ và Môi trường
SKHĐT	Sở Kế hoạch và Đầu tư
SV–HS	Sinh viên học sinh
TCBVNTD	Tiêu chuẩn và bảo vệ người tiêu dùng
TCKH	Tài chính - Kế hoạch
TCKT	Tài chính - Kế toán
TTĐB	Thuế Tiêu thụ đặc biệt
ƯCV	Ứng cử viên
VHGDTTNNĐ	Văn hóa Giáo dục Thanh thiếu niên và Nhi đồng
VND	Việt nam đồng
VNM	Vinamilk
VNN	Vietnamnet
YTẾ	Y tế
BĐ	Bóng đá
BH	Bảo hiểm
BK	Bách khoa
BN	bệnh nhân
BP	Biên phòng
BV	Bệnh viện
BX	Bến xe
CĐ	Cao đẳng
CK	Chung kết
CN	công nghiệp
CQ	cơ quan
ĐB	Đại biểu
ĐC	Địa chỉ
DD	Dân dụng
ĐD	Đại diện
ĐH	Đại học
ĐK	Đăng ký
DL	Du lịch
DN	Doanh nghiệp
ĐT	Đào tạo
DV	Dịch vụ
GD	Giáo dục
GP	Giấy phép
GS	Giáo sư
GT	Giao thông
GV	Giáo viên
HB	Học bổng
Full HD	full hát đê
HD	Hướng dẫn
HĐ	Hội đồng
HN	Hà nội
HQ	Hải quan
HS	Học sinh
HV	Học viên
KK	Khuyến khích
KS	Kỹ sư
LL	Lực lượng
LS	Luật sư
MS	Mã số
NĐ	Nghị định
NV	Nhân viên
PL	Pháp luật
PV	Phóng viên
QĐ	Quyết định
QG	Quốc gia
QH	Quốc hội
QK	Quân khu
SG	Sài gòn
SS	Sĩ số
SX	Sản xuất
SV	Sinh viên
TP	Thành phố
TQ	Trung Quốc
TW	Trung ương
TX	Thị xã
VĐ	Vô địch
VP	Văn phòng
XH	Xã hội
PGS.TS	phó giáo sư tiến sĩ
TS	tiến sĩ
Th.s	thạc sĩ
VTV	vê tê vê
CKTG	chung kết thế giới
KH-ĐT	kế hoạch đầu tư
MTV	một thành viên
UB	ủy ban
LĐ	Lao động
TB-XH	thương binh và xã hội
NN&PTNT	nông nghiệp và phát triển nông thôn
BOT	bê ô tê
LB	Liên bang
T.Ư	trung ương
GS.TS	giáo sư tiến sĩ
TP.Hà Nội	thành phố hà nội
TP.Hồ Chí Minh	thành phố Hồ Chí Minh
tp.hcm	thành phố Hồ Chí Minh
TP.HCM	thành phố Hồ Chí Minh
SN	sinh năm
VOV	vê ô vê
cl	cờ lờ
Cl	Cờ lờ
clg	cờ lờ gờ
Clg	Cờ lờ gờ
clgt	cờ lờ gờ tờ
Clgt	Cờ lờ gờ tờ
clgv	cờ lờ gờ vờ
Clgv	Cờ lờ gờ vờ
cmn	cờ mờ nờ
Cmn	Cờ mờ nờ
cmnl	cờ mờ nờ lờ
Cmnl	Cờ mờ nờ lờ
dm	đờ mờ
Dm	Đờ mờ
đm	đờ mờ
Đm	Đờ mờ
dcm	đê cê mờ
đcm	đê cê mờ
Đcm	Đê cê mờ
dkm	đê ca mờ
đkm	đê ca mờ
dkmm	đê ca mờ mờ
Đkmm	Đê ca mờ mờ
đkmm	đê ca mờ mờ
vl	vờ lờ
Vl	Vờ lờ
vcl	vờ cờ lờ
Vcl	Vờ cờ lờ
vkl	vê ca lờ
Vkl	Vê ca lờ
qq	quần què
cmnr	cờ mờ nờ rờ
cc	cờ cờ
mn	mọi người
ms	mới
ns	nói
fb	ép bê
Fb	Ép bê
18+	mười tám cộng
pk	phải không
cmt	comment
Cmt	Comment
4'	phò
dc	được
đc	được
vđ	vãi đái
vs	với
trc	trước
Trc	Trước
đk	được
kk	ka ka
Kk	Ka ka
kkk	ka ka ka
Kkk	Ka ka ka
kkkk	ka ka ka ka
Kkkk	Ka ka ka ka
cx	cũng
m	mày
M	Mày
h	giờ
H	Giờ
b	bạn
B	Bạn
t	tao
T	Tao
k	không
ko	không
ntn	như thế nào
tdn	thế đéo nào
tđn	thế đéo nào
tsb	tiên sư bố
vc	vờ cờ
Vc	Vờ cờ
vch	vãi chưởng
Vch	Vãi chưởng
đhs	đéo hiểu sao
Đhs	Đéo hiểu sao
cmm	con mẹ mày
cm	con mẹ
j	gì
ks	ca ét
bh	bây giờ
cdmm	cờ đờ mờ mờ
cđmm	cờ đờ mờ mờ
bt	bình thường
3/	ba sọc
ss	so sánh
vk	vợ
Vk	Vợ
ck	chồng
Ck	Chồng
cdm	cộng đồng mạng
cđm	cộng đồng mạng
c	cờ
v	vậy
lm	làm
Lm	Làm
ngta	người ta
Ngta	Người ta
pls	please
Pls	Please
tk	tài khoản
dcd	đéo chịu được
đcđ	đéo chịu được
Dcd	Đéo chịu được
Đcđ	Đéo chịu được
l	lờ
vn	việt nam
Vn	Việt nam
VN	Việt Nam
ng	người
Ng	Người
s	sao
S	Sao
r	rồi
R	Rồi
đb	đê bê
ml	mờ lờ
cđg	cái đéo gì
clm	cờ lờ mờ
Clm	Cờ lờ mờ
hp	hạnh phúc
sdt	số điện thoại
sđt	số điện thoại
nv	như vậy
tg	thời gian
cg	cũng
nyc	người yêu cũ
Nyc	Người yêu cũ
ny	người yêu
mk	mình
bthg	bình thường
Bthg	Bình thường
klq	không liên quan
Klq	Không liên quan
kq	kết quả
Kq	Kết quả
tq	trung quốc
Tq	Trung quốc
đ	đéo
NKYN	Nhật Ký Yêu Nước
ae	anh em
Ae	Anh em
ce	chị em
Ce	Chị em
glhf	good luck have fun
Glhf	Good luck have fun
ph	phút
ctrl	control
Ctrl	Control
dk	được
kg	không
btrai	bạn trai
gđ	gia đình
hsd	hạn sử dụng
IGL	in game leader
qc	quảng cáo
Qc	Quảng cáo
Chs	Chả hiểu sao
chs	chả hiểu sao
pr	pê rờ
Pr	Pê rờ
cb	chuẩn bị
hqa	hôm qua
Hqa	Hôm qua
hqua	hôm qua
Hqua	Hôm qua
sml	sờ mờ lờ
Sml	Sờ mờ lờ
kh	không
bn	bao nhiêu
tmv	thẩm mỹ viện
sd	sử dụng
vcd	vãi cả đái
Vcd	Vãi cả đái
vcđ	vãi cả đái
Vcđ	Vãi cả đái
ktra	kiểm tra
ctv	cộng tác viên
sx	sản xuất
nta	người ta
Nta	Người ta
dt	dễ thương
cmj	con mẹ gì
Cmj	Con mẹ gì
lsao	làm sao
bth	bình thường
Bth	Bình thường
đt	điện thoại
Đt	Điện thoại
qt	quan tâm
Qt	Quan tâm
4 `	phò
mv	em vi
Clb	Câu lạc bộ
clb	câu lạc bộ
sk	sức khỏe
kcn	khu công nghiệp
bds	bất động sản
bđs	bất động sản
cty	công ty
xklđ	xuất khẩu lao động
///	sọc
kd	kinh doanh
nđt	nhà đầu tư
Nđt	Nhà đầu tư
tgian	thời gian
hsau	hôm sau
hnay	hôm nay
vlon	vãi lol
bm	bố mẹ
qđ	quyết định
cf	cà phê
vlin	vãi lìn
gr	group
vcc	vãi cả cờ
Vcc	Vãi cả cờ
th	thằng
Th	Thằng
md	mất dạy
bl	bình luận
blv	bình luận viên
gd	gia đình
hk	không
hok	không
rp	report
ib	inbox
bxh	bảng xêp hạng
rr	rẻ rách
đbrr	đầu bờ rẻ rách
mng	mọi người
dklm	đê ka lờ mờ
ysl	yếu sinh lý
xxx	x x x
dlv	dư luận viên
VC	Việt Cộng
DMCS	Đờ mờ cờ sờ
atsm	ảo tưởng sức mạnh
cocc	cê âu cê cê
ahbp	anh hùng bàn phím
bmr	bỏ mẹ r
cmnd	chứng minh nhân dân
Cmnd	Chứng minh nhân dân
cccd	căn cước công dân
Cccd	Căn cước công dân
