HTX	hợp tác xã
TTGDCK	Trung tâm giao dich chứng khoán
TTGDTX	Trung tâm Giáo dục thường xuyên
TTGT	Trật tự Giao thông
TTH	Thừa thiên huế
TTHTCĐ	Trung tâm học tập cộng đồng
TTHTSV	Trung tâm hỗ trợ sinh viên
TTK	Tổng thư ký
TTLT	Thông tư liên tịch
TTN	Thanh thiếu niên
TTO	tuổi trẻ online
TTQLKT	Trật tự quản lý kinh tế
TTTH	Trung tâm Tin học
TTTM	Trung tâm thương mại
TTTON	Thụ tinh trong ống nghiệm
TTTTN	Trí thức trẻ tình nguyện
TTVGT	Trật tự viên giao thông
TTVH	Trung tâm Văn hóa
TTVN	Trí tuệ Việt Nam
TTXH	Trật tự xã hội
TTXVN	Thông tấn xã việt nam
TTYT	Trung tâm y tế
TTYTDP	Trung tâm Y tế dự phòng
TVHK	Tiếp viên hàng không
TVN	Than việt nam
TVQH	Thường vụ Quốc hội
TVV	Tư vấn viên
UBCKNN	Ủy ban Chứng khoán Nhà nước
UBKT	Ủy ban kiểm tra
UBMTTQ	Ủy ban mặt trận tổ quốc
UBMTTQVN	Ủy ban Mặt trận Tổ quốc Việt Nam
UBND	Ủy ban nhân dân
UBNDTP	Ủy ban Nhân dan Thành phố
UBTDTT	Ủy ban Thể dục Thể thao
UBTVQH	Ủy ban thường vụ Quốc hội
UVBCH	Ủy viên ban chấp hành
UVBCT	Ủy viên Bộ chính trị
VCK	Vòng chung kết
VĐQG	Vô địch Quốc gia
VĐV	Vận động viên
VĐVQG	Vận động viên Quốc gia
VHGDTNTN	Văn hóa Giáo dục Thanh niên Thiếu niên
VHNT	Văn học Nghệ thuật
VHTT	Văn hóa Thông tin
VKS	Viện kiểm sát
VKSND	Viện kiểm sát nhân dân
VKSNDTC	Viện Kiểm sát Nhân dân Tối cao
VLTK	Võ lâm truyền kỳ
VLXD	Vật liệu xây dựng
VNĐ	Việt nam đồng
VPCP	Văn phòng chính phủ
VPĐD	Văn phòng đại diện
VQG	Vườn Quốc gia
XDCB	Xây dựng cơ bản
XĐGN	Xoá đói giảm nghèo
XDHK	Xăng dầu hàng không
XHCN	Xã hội chủ nghĩa
XHH	Xã hội hóa
XKLĐ	xuất khẩu lao động
XNK	Xuất nhập khẩu
XSKT	Xổ số kiến thiết
XTTM	Xúc tiến thương mại
YKVN	Y khoa Việt Nam
YTDP	Y tế Dự phòng
BCĐPCTNTƯ	Ban chỉ đạo phòng chống tham nhũng trung ương
BCHTƯ	Ban chỉ huy trung ương
BCHTW	Ban chỉ huy trung ương
BGDĐT	Bộ Giáo dục và Đào tạo
BR-VT	Bà Rịa Vũng Tàu
CPSXTM	Cổ phần sản xuất thương mại
CSPCTPMT	cảnh sát phòng chống tội phạm ma túy
ĐHBKHCM	Đại học Bách khoa Thành phố Hồ Chí Minh
ĐHHVN	Đại học Hàng hải Việt Nam
DHKTCN	Đại học Kỹ thuật Công nghệ
ĐNÁ	Đông nam á
DTQG	Đội tuyển quốc gia
ĐVƯT	Đoàn viên ưu tú
GCNQSDĐƠ	Giấy chứng nhận quyền sử dụng đất ở
GCNQSHNƠ	Giấy chứng nhận quyền sở hữu nhà ở
GDĐH	Giáo dục dục đại học
GDĐT	Giáo dục & Đào tạo
GPNK	giấy phép nhập khẩu
HĐBA	Hội đồng Bảo an
HDND	Hội đồng nhân dân
HLTTQG	Trung tâm huấn luyện thể thao quốc gia
HS-SV	học sinh sinh viên
KĐTNTL	Khu đô thị Nam Thăng Long
KWH	Ky lô oát giờ
LHTNVN	Hội Liên hiệp Thanh niên Việt Nam
MHZ	mê-ga-héc
NHĐÁ	Ngân hàng Đông Á
NHNNPTNT	Ngân hàng Nông nghiệp và Phát triển Nông thôn
NHTƯ	Ngân hàng Trung ương
NHTW	Ngân hàng Trung ương
NN & PTNT	Nông nghiệp và phát triển nông thôn
NNPTNT	Nông nghiệp và Phát triển nông thôn
NSƯT	Nghệ sĩ ưu tú
NXBVHTT	Nhà xuất bản Văn hóa Nghệ thuật
P/V	phóng viên
PCBLTKCN	Phòng chống bão lụt và tìm kiếm cứu nạn
PCLBTƯ	Phòng chống lụt bão Trung ương
PCLBTW	Phòng chống lụt bão Trung ương
PT-TH	phân tích-tổng hợp
SKHCNMT	Sở Khoa học Công nghệ và Môi trường
SKHĐT	Sở Kế hoạch và Đầu tư
SV–HS	Sinh viên học sinh
TCBVNTD	Tiêu chuẩn và bảo vệ người tiêu dùng
TCKH	Tài chính - Kế hoạch
TCKT	Tài chính - Kế toán
TTĐB	Thuế Tiêu thụ đặc biệt
ƯCV	Ứng cử viên
VHGDTTNNĐ	Văn hóa Giáo dục Thanh thiếu niên và Nhi đồng
VND	Việt nam đồng
VNM	Vinamilk
VNN	Vietnamnet
YTẾ	Y tế
BĐ	Bóng đá
BH	Bảo hiểm
BK	Bách khoa
BN	bệnh nhân
BP	Biên phòng
BV	Bệnh viện
BX	Bến xe
CĐ	Cao đẳng
CK	Chung kết
CN	công nghiệp
CQ	cơ quan
ĐB	Đại biểu
ĐC	Địa chỉ
DD	Dân dụng
ĐD	Đại diện
ĐH	Đại học
ĐK	Đăng ký
DL	Du lịch
DN	Doanh nghiệp
ĐT	Đào tạo
DV	Dịch vụ
GD	Giáo dục
GP	Giấy phép
GS	Giáo sư
GT	Giao thông
GV	Giáo viên
HB	Học bổng
Full HD	full hát đê
HD	Hướng dẫn
HĐ	Hội đồng
HN	Hà nội
HQ	Hải quan
HS	Học sinh
HV	Học viên
KK	Khuyến khích
KS	Kỹ sư
LL	Lực lượng
LS	Luật sư
MS	Mã số
NĐ	Nghị định
NV	Nhân viên
PL	Pháp luật
PV	Phóng viên
QĐ	Quyết định
QG	Quốc gia
QH	Quốc hội
QK	Quân khu
SG	Sài gòn
SS	Sĩ số
SX	Sản xuất
SV	Sinh viên
TP	Thành phố
TQ	Trung Quốc
TW	Trung ương
TX	Thị xã
VĐ	Vô địch
VP	Văn phòng
XH	Xã hội
PGS.TS	phó giáo sư tiến sĩ
TS	tiến sĩ
Th.s	thạc sĩ
VTV	vê tê vê
CKTG	chung kết thế giới
KH-ĐT	kế hoạch đầu tư
MTV	một thành viên
UB	ủy ban
LĐ	Lao động
TB-XH	thương binh và xã hội
NN&PTNT	nông nghiệp và phát triển nông thôn
BOT	bê ô tê
LB	Liên bang
T.Ư	trung ương
GS.TS	giáo sư tiến sĩ
TP.Hà Nội	thành phố hà nội
TP.Hồ Chí Minh	thành phố Hồ Chí Minh
tp.hcm	thành phố Hồ Chí Minh
TP.HCM	thành phố Hồ Chí Minh
SN	sinh năm
VOV	vê ô vê
cl	cái lồn
Cl	Cái lồn
clg	cái lồn gì
Clg	Cái lồn gì
clgt	cái lồn gì thế
Clgt	Cái lờ gì thế
clgv	cái lồn gì vậy
Clgv	Cái lờ gì vậy
cmn	con mẹ bó
Cmn	con mẹ nó
cmnl	con mẹ nó lồn
Cmnl	con mẹ nó lồn
dm	địt mẹ
Dm	Địt mẹ
đm	địt mẹ
Đm	Địt mẹ
dcm	địt con mẹ
đcm	địt con mẹ
Đcm	địt con mẹ
dkm	địt con mẹ
đkm	địt con mẹ
dkmm	địt con mẹ mày
Đkmm	Địt con mẹ mày
đkmm	Địt con mẹ mày
vl	vãi lồn
Vl	vãi lờ
vcl	vãi cả lờ
Vcl	Vãi cả lờ
vkl	Vãi cả lờ
Vkl	Vãi cả lờ
qq	quần què
cmnr	con mẹ nó rồi
cc	cục cứt
mn	mọi người
ms	mới
ns	nói
fb	ép bê
Fb	Ép bê
18+	mười tám cộng
pk	phải không
cmt	comment
Cmt	Comment
4'	phò
dc	được
đc	được
vđ	vãi đái
vs	với
trc	trước
Trc	Trước
đk	được
kk	ka ka
Kk	Ka ka
kkk	ka ka ka
Kkk	Ka ka ka
kkkk	ka ka ka ka
Kkkk	Ka ka ka ka
cx	cũng
m	mày
M	Mày
h	giờ
H	Giờ
b	bạn
B	Bạn
t	tao
T	Tao
k	không
ko	không
ntn	như thế nào
tdn	thế đéo nào
tđn	thế đéo nào
tsb	tiên sư bố
vc	vãi cứt
Vc	vãi cứt
vch	vãi chưởng
Vch	Vãi chưởng
đhs	đéo hiểu sao
Đhs	Đéo hiểu sao
cmm	con mẹ mày
cm	con mẹ
j	gì
ks	ca ét
bh	bây giờ
cdmm	cái địt mẹ mày
cđmm	cái địt mẹ mày
bt	bình thường
3/	ba sọc
ss	so sánh
vk	vợ
Vk	Vợ
ck	chồng
Ck	Chồng
cdm	cái địt mẹ
cđm	cái địt mẹ
c	cờ
v	vậy
lm	làm
Lm	Làm
ngta	người ta
Ngta	Người ta
pls	please
Pls	Please
tk	tài khoản
dcd	đéo chịu được
đcđ	đéo chịu được
Dcd	Đéo chịu được
Đcđ	Đéo chịu được
l	lờ
vn	việt nam
Vn	Việt nam
VN	Việt Nam
ng	người
Ng	Người
s	sao
S	Sao
r	rồi
R	Rồi
đb	đê bê
ml	mờ lờ
cđg	cái địt mẹ
clm	cái lồn mẹ
Clm	Cái lồn mẹ
hp	hạnh phúc
sdt	số điện thoại
sđt	số điện thoại
nv	như vậy
tg	thời gian
cg	cũng
nyc	người yêu cũ
Nyc	Người yêu cũ
ny	người yêu
mk	mình
bthg	bình thường
Bthg	Bình thường
klq	không liên quan
Klq	Không liên quan
kq	kết quả
Kq	Kết quả
tq	trung quốc
Tq	Trung quốc
đ	đéo
NKYN	Nhật Ký Yêu Nước
ae	anh em
Ae	Anh em
ce	chị em
Ce	Chị em
glhf	good luck have fun
Glhf	Good luck have fun
ph	phút
ctrl	control
Ctrl	Control
dk	được
kg	không
btrai	bạn trai
gđ	gia đình
hsd	hạn sử dụng
IGL	in game leader
qc	quảng cáo
Qc	Quảng cáo
Chs	Chả hiểu sao
chs	chả hiểu sao
pr	pê rờ
Pr	Pê rờ
cb	chuẩn bị
hqa	hôm qua
Hqa	Hôm qua
hqua	hôm qua
Hqua	Hôm qua
sml	sấp mặt lờ
Sml	sấp mặt lồn
kh	không
bn	bao nhiêu
tmv	thẩm mỹ viện
sd	sử dụng
vcd	vãi cả đái
Vcd	Vãi cả đái
vcđ	vãi cả đái
Vcđ	Vãi cả đái
ktra	kiểm tra
ctv	cộng tác viên
sx	sản xuất
nta	người ta
Nta	Người ta
dt	dễ thương
cmj	con mẹ gì
Cmj	Con mẹ gì
lsao	làm sao
bth	bình thường
Bth	Bình thường
đt	điện thoại
Đt	Điện thoại
qt	quan tâm
Qt	Quan tâm
4 `	phò
mv	em vi
Clb	Câu lạc bộ
clb	câu lạc bộ
sk	sức khỏe
kcn	khu công nghiệp
bds	bất động sản
bđs	bất động sản
cty	công ty
xklđ	xuất khẩu lao động
///	sọc
kd	kinh doanh
nđt	nhà đầu tư
Nđt	Nhà đầu tư
tgian	thời gian
hsau	hôm sau
hnay	hôm nay
vlon	vãi lồn
bm	bố mẹ
qđ	quyết định
cf	cà phê
vlin	vãi lồn
gr	group
vcc	vãi cả cờ
Vcc	Vãi cả cờ
th	thằng
Th	Thằng
md	mất dạy
bl	bình luận
blv	bình luận viên
gd	gia đình
hk	không
hok	không
rp	report
ib	inbox
bxh	bảng xếp hạng
rr	rẻ rách
đbrr	đầu buồi rẻ rách
mng	mọi người
dklm	địt con mẹ
ysl	yếu sinh lý
xxx	x x x
dlv	dư luận viên
VC	Việt Cộng
DMCS	Địt mẹ cộng sản
atsm	ảo tưởng sức mạnh
cocc	cê âu cê cê
ahbp	anh hùng bàn phím
bmr	bỏ mẹ r
cmnd	chứng minh nhân dân
Cmnd	Chứng minh nhân dân
cccd	căn cước công dân
Cccd	Căn cước công dân
CS	Cộng Sản
zl	vãi lồn
clmm	cái lồn mẹ mày
HK	HongKong
tr	trời
ytb	youtube
Xhcn	Xã hội chủ nghĩa
Đ*o	Đéo
dcscn	đảng cộng sản china
đcsvn	đảng cộng sản việt nam
cnxh	chủ nghĩa xã hội
đmmm	địt mẹ mày
tc	tình cảm
lgi	làm gì
ĐM	Địt mẹ
nch	nói chuyện
hv	hậu vệ
xd	xác định
đtrai	đẹp trai
tn	tin nhắn
chxhcn	Cộng hòa Xã hội Chủ nghĩa
sp Trump	support Trump
xg	xong
cj	cậu gì
Inb	Inbox
srm	ét rờ mờ
vtv	vê tê vê
nchug	nói chung
Nhg	Nhưng
n	nó
cđ	con đĩ
Voz	vê ô zét
loz	lồn
lz	lồn
CĐM	cộng đồng mạng
vnch	Việt Nam cộng hòa
HN-LC	Hà Nội Lào Cai
bgio	bao giờ
Tsb	Tiên sư bố
ncc	như con cặc
s.h.i.t	shit
lmj	làm gì
ngy	người yêu
lgt	lồn gì thế
tgioi	thế giới
cmr	con mẹ rồi
bve	bảo vệ
tgt3	thế giới thứ ba
kbh	không bao giờ
đ*t	địt
C S	Cộng Sản
n . y	người yêu
nt mình	nhắn tin mình
qtrong	quan trọng
bjo	bao giờ
Z	Zậy
z	zậy
cs	cộng sản
Cs	Cộng sản
🍠	bánh
mb	máy bay
TT Trump	Tổng thống Trump
xhcn	xã hội chủ nghĩa
xl	xạo lồn
vcNhưng	vãi cặc. Nhưng
đmcs	dm cộng sản
trrrr	trời
trrrn	trên
vloz	vãi lồn
cv	công việc
lozzzz	lồn
nt	như thế
BVS	băng vệ sinh
d*i	dái
sp	sản phẩm
Ib	Inbox
ctrai	con trai
cgai	con gái
Dmmmm	Địt mẹ
pv	phỏng vấn
d.ụ.c	dục
sn	sinh nhật
ds	dễ sợ
xh	xã hội
kbiz	ka biz
khg	không
cfs	confession
bjt	biết
kb	kết bạn
chossss	chó
dmcs	dm cộng sản
đmm	địt mẹ mày
csxhcn	cộng sản xã hội chủ nghĩa
ĐMCS	Địt mẹ cộng sản
giốg	giống
trag	trang
kkkkkkk	ka ka ka
nc	nói chuyện
thoy	thôi
lôz	lồn
nunwgs	nứng
djt	địt
Dmm	địt mẹ mày
đ * t	đít
p . h . á . t x . í . t	phát xít
bno	bọn nó
xl rồi	xin lỗi rồi
xl bác	xin lỗi bác
L	lờ
HCQ	hợp chủng quốc
đcs	đảng cộng sản
Khokk	khóc
ln	lồn
cd	chế độ
Đmcs	Đụ má cộng sản
csxhcd	cộng sản xã hội chế độ
cdcm	cái địt con mẹ
dcs	Đảng Cộng sản
nthe	như thế
cag	cặc
đ . iên	điên
đ . ụ	đụ
csản	cộng sản
đitme	địt mẹ
Cc	cờ cờ
mnsd	man ngu si đần
lolz	lồn
stk	số tài khoản
Stk	số tài khoản
nchung	nói chung
đell	đéo
vailol	vãi lồn
xợ	sợ
duma	đù má
fwb	bạn chịch
ciu	cu
dcsvn	đảng cộng sản việt nam
hl	hãm lồn
lone	lồn
clipp	clip
vailon	vãi lồn
nồ	lồn
nma	nhưng mà
douma	đụ má
bome	bỏ mẹ
mxh	mạng xã hội
moẹ	mẹ
tró	chó
vjp	vip
đũy	đĩ
zú	vú
dmm	địt mẹ mày
đuma	đụ má
adu	á đù
đỹ	đĩ
ctay	chia tay
mịe	mẹ
adidaphat	a di đà phật
vck	vợ chồng
búm	bướm
mọe	mẹ
xaolon	xạo lồn
dume	đụ mẹ
móa	má
mợt	mệt
pím	bướm
rach	rách
ṽ	vãi
đuỹ	đĩ
lồz	lồn
zợ	sợ
cặt	cặc
dú	vú
đme	địt mẹ
xamf	xàm
nunglon	nứng lồn
ｔổｎｇ	tổng
ｈợｐ	hợp
ｃáｃ	các
ｃｌｉｐ	clip
ｔâｙ	tây
đｉ	đi
ｃｈơｉ	chơi
ｐｈò	phò
ｖｎ	việt nam
ｅｍ	em
ｃｌｉｃｋ	click
ｘｅｍ	xem
ｎｈａ	nha
dịt	địt
dcmm	địt con mẹ mày
đit	địt
dizz	địt
lồl	lồn
móe	má
acclone	acc lồn
nulo	nứng lồn
concho	con chó
kảm	cảm
ᴍᴜᴀ	mua
ʙáɴ	bán
lozz	lồn
ᴇм	em
dmca	dm
ịa	ỉa
chos	chó
ᴛươɴɢ	tương
ᴛáᴄ	tác
ᴛốᴛ	tốt
ịt	địt
đjtme	địt mẹ
đuýt	đít
dâmm	dâm
jách	rách
đjtconme	địt con mẹ
ċhö	chó
đel	đéo
clmn	cái lồn mẹ n
ᴍɪễɴ	miễn
ᴘʜí	phí
ngyeu	người yêu
vllllll	vãi lồn
ᴄʜᴏ	cho
ʙé	bé
ʏêᴜ	yêu
nồn	lồn
đume	đụ mẹ
lôl	lồn
cặ	cặc
cằc	cặc
bòi	buồi
ᐯiᗪeo	video
ᗰới	mới
ᑎoᑎ	non
ᐯào	vào
ᴛʜấʏ	thấy
ɴàʏ	này
ᴛʜᴀᴍ	tham
ɢɪᴀ	gia
nứg	nứng
ᑕᒪiᑭ	clip
ᖴᑌᒪᒪ	full
hamlone	hãm lồn
ditconme	địt con mẹ
vïdëö	video
ċhăn	chăn
räü	rau
ċựċ	cực
nướċ	nước
ċần	cần
khõe	khoiẽ
ᑎᕼà	nhà
ᑎgᕼỉ	nghỉ
tʜái	thái
ƌộ	độ
gӓy	gây
ᴛrαnh	tranh
cӓi	cãi
vl0	vãi lồn
ditme	địt mẹ
máaaaaa	má
đelll	đéo
dếu	vú
xaoloz	xạo lồn
khovilol	khổ vì lồn
nhulonn	như lồn
đizzz	địt
xamlin	xàm lồn
chungtôiđồnglòngtẩychayninhduonglanngoc	chúng tôi đồng lòng tẩy chay Ninh Dương Lan Ngọc
tẩychayninhduonglanngoc	tẩy chay Ninh Dương Lan Ngọc
xamlol	xàm lồn
ditmecuocdoi	địt mẹ cuộc đời
änh	anh
müốn	muốn
độnġ	động
ċủä	của
khônġ	không
ċämërä	camera
ċặp	cặp
ċhồnġ	chồng
ċlïp	clip
áï	ai
xëm	xem
nónġ	nóng
nhä	nha
samloz	xàm lồn
vãiiii	vãi
ᴛổɴɢ	tổng
ʜợᴘ	hợp
ʟɪɴᴋ	link
cáingu	cái ngu
đụma	đụ má
lồnnnn	lồn
ṭậƿ	tập
ṭһể	thể
єṃ	em
ɢáı	gái
ṭяȏṅɢ	trong
ṅһà	nhà
ṅɢһỉ	nghỉ
đél	đéo
vl😑	vãi lồn
vlol	vãi lồn
nunglonmongmanh	nứng lồn mong mang
concakkinhnien	con cặc kinh niên
đells	đéo
concac	con cặc
đá1	đái
vcut	vãi cứt
lon😀	lồn
cu🙃	cu
нọc	học
ѕιnн	sinh
địт	địt
nнaυ	nhau
тự	tự
qυay	quay
clιp	clip
хəм	xem
zái	dái
àduma	à đù má
hãmloz	hãm lồn
тổɴԍ	tổng
нợᴘ	hợp
cʟιᴘ	clip
cнéɴ	chén
ʀᴀu	rau
ɴuộт	nuột
xoac	xoạc
vclin	vãi cả lìn
đeohieukieugi	đéo hiểu kiểu gì
lonz	lồn
concard	con cặc
hãmlol	hãm lồn
vaix	vãi
ocschos	óc chó
zler	vãi lồn
bímm	bướm
xaml	xàm lồn
ᖇᗩᑌ	rau
ᑕᕼăᑎ	chăn
ᑕựᑕ	cực
tᖇàᑎ	tràn
ᑎướᑕ	nước
tᖇề	trề
ᗩe	anh em
ᑎào	nào
ᑕầᑎ	cần
tᕼì	thì
ᑎgᗩy	ngay
s3x	sex
sex🔞	sex
lồn	hãm lồn
rồiđm	rồi địt mẹ
sιɴн	sinh
vιêɴ	viên
ɴԍực	ngực
мớι	mới
ɴнú	nhú
cнᴀт	chat
sᴇx	sex
тʀᴀι	trai
ʙạɴ	bạn
ʟιɴκ	link
ᴘнúт	phút
vlolngã	vãi lồn ngã
xaolin	xạo lồn
ᕼiếᑭ	hiếp
ᗪâᗰ	dâm
ᗷạᑎ	bạn
ᑕùᑎg	cùng
ᒪớᑭ	lớp
vãiiiii	vãi
anlon	ăn lồn
anlonnhe	ăn lồn nhé
ᕼọᑕ	học
ᑕấᑭ	cấp
ᗪắt	dắt
ᑎᕼᗩᑌ	nhau
ᖇồi	rồi
ᗩi	ai
ᑎgờ	ngờ
ᗷị	bị
ᑕᕼủ	chủ
ᑫᑌᗩy	quay
vãii	vãi
vainon	vãi lồn
condilon	con đĩ lồn
vιᴅᴇo	video
мóc	móc
cuᴀ	cua
ԍáι	gái
нàɴԍ	hàng
xóм	xóm
quằɴ	quằn
quạιｖàｏ	quại vào
moé	má
buscu	bú cu
hãmlon	hãm lồn
ᴀᴇ	ae
тнì	thì
ɴԍᴀʏ	ngay
dmcs5	dm cộng sản
chxhcnvn	cộng hòa xã hội chủ nghĩa việt nam
ａｎｈ	anh
hamlon	hãm lồn
ɢʀᴏᴜᴘ	group
xᴇᴍ	xem
ɴʜé	nhé
ｖàｏ	vào
äë	ae
màaa	mà
dồiiiii	rồi
lynh	linh
lunnn	luôn
đóoo	đó
daubuoi	đầu buồi
taychayninhduonglanngoc	tẩy chay NinhDươngLanNgọc
chiatay	chia tay
bướng'g	bướng
tócnamđẹp	tóc nam đẹp
nèeeee	nè
nhântâm	nhân tâm
chủdân	chủ dân
bạnnn	bạn
xinhhh	xinh
phukien	phụ kiện
bomtoc	bờm tóc
caitoc	cài tốc
keptoc	kẹp tóc
bongtai	bông tai
vongco	vòng cổ
vongtay	vòng tay
kinhcan	kính cận
donghogiare	đồng hồ giá rẻ
laodong	lao động
ngưngđổlỗi	ngưng đồ lỗi
đừngimlặng	đừng im lặng
nguoitre	người trẻ
hieubiet	hiểu biết
chịuuuu	chịu
luônnn	luôn
waooo	wow
tinhanhem	tình anh em
tudaithienvuong	tứ đại thiên vương
rồi	rồi
cướp	cướp
ngonnn	ngon
nàyyyy	này
giặc	giặc
bắc	bắc
ғuʟʟ	full
sốđiệnthoại	số điện thoại
ｎｇａｙ	ngay
lại	lại
tẹtt	tẹt
mìnhhh	mình
cuốivậy	cuối vậy
xuất	xuất
mạng	mạng
chuẩn	chuẩn
đánhrơi	đánh rơi
ᴇᴍ	em
ɴʜóᴍ	nhóm
ғʀᴇᴇ	free
đăɴɢ	đăng
ʙàɪ	bài
thếrác	rác
đỉnkkk	đỉnh
ngàynhóm	ngày nhóm
lợicộng	lợi cộng
cườirồi	cười rồi
nữađang	nữa đang
điênbớt	điên bớt
thôivà	thôi và
cứtvì	cứt vì
tướngnó	tướng nó
đúngnhưng	đúng nhưng
nhiềuchụp	nhiều chụp
chetmemay	chết mẹ mày
hâhhha	haha
nhỉthôi	nhỉ thôi
ơigiờ	ơi giờ
lật	lật
thấmdầu	thấm dầu
thôiii	thôi
nàooo	nào
vcnhưng	vc nhưng
rồiiii	rồi
đấutrườngâmnhạc	đấu trường âm nhạc
giọnghátviệt2019	giọng hát việt
mãiyêu	mãi yêu
tinnếu	tin nếu
ɢɪảᴍ	giảm
ᴋịᴄʜ	kịch
bócra	bóc ra
ćựć	cực
ńhíệt	nhiệt
chóooo	chó
tộiiii	tội
viềnxích	viền xích
bò	bò
căngmịn	căng mịn
congsan	cộng sản
chờiiiii	trời
sắccccc	sắc
taaaa	ta
caooo	cao
rồiiiiivà	rồi và
kháccả	khác cả
bvs	băng vệ sinh
condime	con đi mẹ
quáaaa	quá
êiiiiiiiiii	ê
luônchắc	luôn chắc
vclmuốn	vc muốn
cómà	có mà
luậtcộng	luật cộng
thằng's	thằng
bờm'm	bờm
đảngtọa	đản tọa
lườiii	lười
thoidai	thời đại
dmmmm	dm
tuoilon	tuổi lồn
nhậnnn	nhận
nãophải	não phải
senđm	sen dm
bananthongminh	bàn nà thông minh
biếttttt	biết
việtnam	việt nam
muối's	muối
yênnnn	yên
nonnếu	non nếu
treocổ	treo cổ
đóvậy	đó vậy
lợiko	lợi không
nhìuuuuu	nhiều
anhem	anh em
tuyển	tuyển
hệ	hệ
còntìnhcònnghĩacòntồntại	còn tình còn nghĩa còn tồn tại
hếttìnhhếtnghĩahoáhưvô	hết tình hết nghĩa hóa hư vô
màvợ	mà vợ
chịii	chị
bừnnnn	bần
kìaaa	kìa
ôngtrời	ông trời
lạnếu	lạ nếu
vàongưng	vào ngưng
gửi	gửi
chetme	chết mẹ
đclm	địt con mẹ mày
nèbạn	nè bạn
tẩychay	tẩy chay
taooooo	tao
nhấttttt	nhất
emmà	em mà
khỗ	khổ
mìnhđã	mình đã
vclll	vãi cả lồn
nwngs	nứng
nhỉiiiiiiiiii	nhỉ
videoooo	video
vỡiiiii	vãi
ghiaaaa	ghê
quantum	quan tâm
thậttt	thật
dduma	dm
nátttttttt	nát
tộibạo	tội bạo
baoquocte	báo quốc tế
đieen	điên
chuộtttt	chuột
đấyyyyy	đấy
hiểuvừa	hiểu vừa
kiểmhàng	kiểm hàng
mìnhvà	mình và
tttây	tây
biếtđéo	biết đéo
chụpmà	chụp mà
hâhhaahha	haha
màtìm	mà tìm
nàytao	này tao
phimqua	phim qua
giávới	giá với
thoitrang	thời trang
sướngchị	sướng chị
500ae	500 ae
vớiiiii	với
zạyyyy	vậy
hếttttttttt	hết
tàucố	tàu cổ
duỵet	duyệt
cócó	có có
trinh🤣🤣🤣	trình
thếtưởng	thế tưởng
rồinó	rồi nó
ỏoooooooooo	ỏ
cuteeeeeee	cute
lộncáibàn	lộn cái bàn
chetcondime	chết con đĩ mẹ
bởi	bởi
lựcnhư	lực như
tròyy	trời
nhòi	lòi
trithucvn	tri thức việt nam
vncuộc	việt nam cuộc
hâhhahaahah	haha
chòiiiiii	trời
biarượu	bia rượu
nầy	này
nhiều	nhiều
màcòn	mà còn
congly	công lý
khítvừa	khít vừa
viêmvừa	viêm vừa
xờiiii	xời
yêuuuuuu	yêu
giảihơn	giải hơn
triiệuu	triệu
vàooo	vào
uầyyyy	uầy
concặtnèđức	con cặc nè đức
thôixin	thôi xin
khácchắc	khác chắc
mắtmón	mắt món
bạnhỏi	bạn hỏi
vuiii	vui
nẹee	nẹ
quênnn	quên
khácthấy	khác thấy
cáimolon	cái mồm lồn
dốimà	rồi mà
lắm	lắm
ranữa	ra nữa
cumback	comeback
dmc5	dm cộng sản 5
hâhhahha	haha
phếttttt	phết
vậyphụ	vậy phụ
củaviệt	của việt
thoithế	thôi thế
nóbên	nó bên
cayyy	cay
miễnphí	miễn phí
cươp	cướp
huhuhuuu	huhu
hâhhhaha	haha
kkkkkkkkkkkkkk	haha
kooooo	không
нᴅ	hd
ĩaaaaa	ỉa
điđcm	địt con mẹ
sốthành	số thành
ấyyy	ấy
thiêndương	thiên dương
tăngcân	tăng cân
dinhdưỡng	dinh dưỡng
giảmcân	giảm cân
lợisữa	lợi sữa
bàbầu	bà bầu
cnxhvn	cộng hòa xã hội việt nam
đóoooooooo	đó
honggg	không
phòngvévũlinh	phòng vé vũ linh
gìgiờ	gì giờ
ngàymình	ngày mình
thếbonj	thế bọn
ơicái	ơi cái
nhóooo	nhá
trọc	trọc
9tháng	9 tháng
nungcackinhnien	nứng cặc kinh niên
zuiiii	vui
riênggg	riêng
đâuuuu	đâu
ơitui	ơi tui
bạchhhhh	bạch
hàaaaaaa	haha
chếttt	chết
kienthuc	kiến thức
luônmột	luôn một
toiiiiiiiiiiiiiii	toi
cuuuu	cứu
hayyyy	hay
cảnhăn	cả nhă
đi😂😂😂😂😂	đi
doumer	đù má
đâutự	đâu tự
fuckkk	fuck
hahhahah	haha
khennnnn	khen
dogs	chó
toooooo	to
nèee	nè
hamlonic	hãm lồn
nưsng	nứng
đâuchỉ	đâu chỉ
bình3lân	bình lân
hòooo	hò
ccđmm	cái địt mẹ
tiềnra	tiền ra
đứngmấy	đứng mấy
botay	bó tay
quốcnhóm	quốc nhóm
đồikhông	đồi không
côimột	côi một
rượuem	rượu em
chìmhơi	chìm hơi
trộmmmm	trộm
yêunhưng	yêu nhưng
toiiii	toi
quéeeee	qué
múp	ngon
màbạn	mà bạn
haaahaaaahaaaa	haha
quaaaaaa	qua
xinloiổng	xin lỗi ông
tốtsao	tốt sao
tròntròn	tròn
zma	vậy mà
quáaa	quá
lênnnnnn	lên
tiềnnhanh	tiền nhanh
ưnggg	ưng
xink's	xinh
trấtttt	chất
đisắp	đi sắp
